RestaurantID,Cuisine
trEnFaHqRkJqtjRvzx7PsQ,american
9KcCBiz0vnchA-m02bJHtA,pizza
xMtNlXP6JlI08GwKOYSPTg,healthy
oL3NzwNMn-e02cxGwvsPcw,indian
yKQZqmCbk3EkGC5ajHgEGg,indian
K9t9xqhbLIePem5Okb3J9Q,indian
hr3cMFPXoPeL-_4v9C-_Nw,american
PAJdNrD4HFBN16OAFeDx4A,mexican
SHGSMv63CvBpoXEQHtfstQ,mexican
3RzOtG3BmPaZy7NtlbGfsg,american
znjI0AUNDgQJstazw62nxg,healthy
3X3n5JtRZHwOlHnMkQTjfw,italian
4aXPYKWBBpjDmkr9drsZ2g,pizza
BZcG-xN3DCxlfhckBZYeuw,brunch
Lbs8QBRN1U7IYBo5Mcv-RQ,chinese
yQs_tXFWxaC6TKTK1O0CZA,korean
cBUlHFB1fk2q3WmP6o7gvA,healthy
0An2LzS7tOExGWTHCHJy8A,mexican
QkILsb4hQkveWTyHy8y2Gg,american
FixPdsfm___2OV2ztzY8JQ,american
i9UMc9gLeORtCLd-OoGgYg,pizza
6tASYtO9zOrXr8-LPnAToQ,chinese
b03GEE_pYlLCdD6yShZKqw,chinese
FvnExtQHPfz_crDCBTQ1iQ,indian
IdjSR-GQAxQD0poZ3rSueg,pizza
3zrrMYT11Yel8puGlCkQKQ,healthy
p7AUVHJWsE9DBzO5yRR6FQ,american
mOoZZa6WIsgihc_TqyQcXw,italian
E_4uwW4UD6PmNIz7nS9E0A,healthy
UveVdthLfWt_RFXMf1Wwzw,american
upaVTWhLsxcu1HXqN8iHVQ,american
Tckrv_g2Ncx0OkYmIa-sJQ,korean
0laCKZiHrdM_ZKdhTFbGgg,italian
khZwIk7s0AqTk0jy0WPvkw,indian
fPW_GBZsnBNsIzK62sCHBg,chinese
ordDKTBgCKwk5oBbSPKXcQ,healthy
ff9ZYWbWVBU6GL9fW3PPiw,american
xmbBNjDuGEyeQFTkQPHMLQ,mexican
sHVnV3l2_mQefULh0mvwUA,korean
YvL7_ZXp-VAhrOCy1mb-cQ,korean
oSpBTTBYy_sWDXiZF5CSdg,american
laiRlkG_gfzPqLPK4gQy1g,mexican
L37A2JWXfwR_PgKColA8xA,chinese
DynFEEWtMX76qeqviUbOdA,italian
ZHPp0z9Tr6qfjj2wCleLWw,korean
Hdb6QepRYoFm62Ce8wj4Qw,american
fVsH6QIJPzXpVbgmeiolsA,brunch
rbAxZRKdMoMxeonDTmooFg,mexican
0s8rxDQhglhh28BLz-80qw,indian
